Pokédex,Nome,Tipo1,Tipo2,Altura,Peso,HP,Ataque,Defesa,Ataque Especial,Defesa Especial,Velocidade
133,eevee,normal,,3,65,55,55,50,45,65,55
134,vaporeon,water,,10,290,130,65,60,110,95,65
135,jolteon,electric,,8,245,65,65,60,110,95,130
136,flareon,fire,,9,250,65,130,60,95,110,65
137,porygon,normal,,8,365,65,60,70,85,75,40
138,omanyte,rock,water,4,75,35,40,100,90,55,35
139,omastar,rock,water,10,350,70,60,125,115,70,55
140,kabuto,rock,water,5,115,30,80,90,55,45,55
141,kabutops,rock,water,13,405,60,115,105,65,70,80
142,aerodactyl,rock,flying,18,590,80,105,65,60,75,130
143,snorlax,normal,,21,4600,160,110,65,65,110,30
144,articuno,ice,flying,17,554,90,85,100,95,125,85
145,zapdos,electric,flying,16,526,90,90,85,125,90,100
146,moltres,fire,flying,20,600,90,100,90,125,85,90
147,dratini,dragon,,18,33,41,64,45,50,50,50
148,dragonair,dragon,,40,165,61,84,65,70,70,70
149,dragonite,dragon,flying,22,2100,91,134,95,100,100,80
150,mewtwo,psychic,,20,1220,106,110,90,154,90,130
151,mew,psychic,,4,40,100,100,100,100,100,100
